TEM_type,Tchm0,Tccm0,N0,I0,eta0,aTEM,aTE,Ncoup,hTEM,mTEM,prop,fin_type,hhm,deltahm,shaghm,dekvhm,ledhm,lbdNTEG,roNTEG,lbdOTEG,roOTEG,Lpolez,nTEMrowmax,rowmax,wbefdif,Thm0,Thmpr,wcment,Tcm0,Tcmpr,rtchmmax,rtcwmax,d,Ne,alphaGD,gDT
TGM-127-2.0-1.3,473.0,303.0,12.6,4.1,0.0474,0.048,0.002,127.0,0.0036,0.031,1.0,"Рп-31-2,5-10",0.0311,0.0006,0.005,0.00772,0.01,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,36.69967345134548,759.1778112401332,514.8048792625127,1.118644081224436,307.4983741537744,349.4415375273877,2352.9030687355007,83095.82069737455,0.0187193459377731,3612.406267250856,2.046104390005431,0.2295560792871854
HZ-14,523.0,323.0,15.0,9.0,0.045,0.06,0.005,49.0,0.00508,0.049,1.0,"Рп-31-2,5-10",0.0311,0.0006,0.005,0.00772,0.01,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,23.01609849028881,722.4862280574392,498.9578292179485,0.9802138531537226,286.88030001217123,397.2854696672953,2398.712821063521,107389.4091260765,0.0419376203162014,3432.200781413571,2.014862260271701,0.2730658171784551
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,"Рп-31-2,5-10",0.0311,0.0006,0.005,0.00772,0.01,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,24.59608540792964,798.6940666268924,570.9456619250842,1.0973728281253798,323.0606358902642,339.7333377068184,3586.2565661003755,81085.21599253781,0.0240669780505688,1848.24561985295,1.930177846000643,0.2452105589737971
HZ-14,523.0,323.0,15.0,9.0,0.045,0.06,0.005,49.0,0.00508,0.049,1.0,Рп-22-2-7,0.0215,0.0006,0.0036,0.00527,0.0069,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,48.07751504820037,791.3402047470504,483.727632801564,1.0557890568283257,296.8333761405772,332.27668287945284,2538.4712001079733,76218.76174221653,0.0104834907238646,2494.196166371053,2.038080488802928,0.1905800583362706
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,Рп-42-3-14,0.0416,0.0006,0.0065,0.01035,0.0135,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,43.195289866219774,663.7558770625449,477.26941169023394,0.8055323279217137,285.75569917241444,391.06050841574506,2725.0858609947445,117901.85902644588,0.0177322594965877,3948.8434014841614,2.1523304221855453,0.2767032470728184
TGM-127-2.0-1.3,473.0,303.0,12.6,4.1,0.0474,0.048,0.002,127.0,0.0036,0.031,1.0,"Рп-31-2,5-10",0.0311,0.0006,0.005,0.00772,0.01,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,36.788991677581045,771.8666541627144,462.0932563435626,1.152580749781226,324.33639972547314,347.88035430287204,2791.760577861848,70918.07332625467,0.0131707104412372,1460.4697138975228,1.7580452130822326,0.2297296926516494
HZ-14,523.0,323.0,15.0,9.0,0.045,0.06,0.005,49.0,0.00508,0.049,1.0,Рп-22-2-7,0.0215,0.0006,0.0036,0.00527,0.0069,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,46.22982716551182,794.711503445545,484.53907218518754,1.104569773823194,297.22887245159905,375.3062626552826,3441.727603027772,75356.60740434911,0.0424603514395534,1906.6111380085813,2.4756982198364126,0.2704919605612482
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,Рп-42-3-14,0.0416,0.0006,0.0065,0.01035,0.0135,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,35.54864132403424,660.7494758435513,514.4724146408689,0.9591443505807424,329.78271832885,337.8723087366656,2021.9275556705416,96958.91754181302,0.0005245984152315,2859.4848640812124,1.7825085481578702,0.2539013579622609
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,Рп-42-3-14,0.0416,0.0006,0.0065,0.01035,0.0135,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,26.026423263915945,693.6370391790526,507.33604206558266,1.1642976386937094,298.9680534759052,378.3843192794881,2457.001536176669,118527.50406748164,0.0407186161069236,3655.067028158229,2.359639818090637,0.2159811956431001
TGM-127-2.0-1.3,473.0,303.0,12.6,4.1,0.0474,0.048,0.002,127.0,0.0036,0.031,1.0,"Рп-31-2,5-18",0.0311,0.0006,0.005,0.00772,0.0175,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,46.41438402348378,732.3104451458805,520.5395737617289,0.8349258446421532,295.2258310745474,308.53733883040377,2947.5626528188204,63304.11065058465,0.0117443261897914,3217.430466376388,1.6685555921284627,0.2460582202521422
TGM-127-2.0-1.3,473.0,303.0,12.6,4.1,0.0474,0.048,0.002,127.0,0.0036,0.031,1.0,"Рп-31-2,5-10",0.0311,0.0006,0.005,0.00772,0.01,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,35.885620131820055,762.1374368948609,463.4801478244972,0.925050961298264,279.8300399850206,367.9648447671776,3042.345826406084,117883.62775354736,0.0092701410868338,3906.9306528024617,2.011368253184468,0.1806390518219812
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,"Рп-31-2,5-8",0.0311,0.0006,0.005,0.00772,0.0075,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,43.73933306578472,738.7548729160684,516.4149536663183,1.1836962445873391,290.40215560857945,312.267642387435,2335.770369246812,103030.0257300539,0.0070796138788812,3679.407528357008,1.811177553391131,0.1867262708557642
TGM-127-2.0-1.3,473.0,303.0,12.6,4.1,0.0474,0.048,0.002,127.0,0.0036,0.031,1.0,"Рп-31-2,5-8",0.0311,0.0006,0.005,0.00772,0.0075,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,24.228924367272672,619.2780424149282,461.0537990343746,1.1266373571170258,303.06972148434966,342.9864406693817,2612.7192438731863,83771.70834825619,0.0192931593492346,2875.518444401381,2.381439604341068,0.2205551459735341
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,"Рп-31-2,5-10",0.0311,0.0006,0.005,0.00772,0.01,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,48.191870357661934,742.6840153767192,522.3090381119723,0.985413423873829,295.94446239594794,360.3091480636407,3653.918990605614,86433.49098459413,0.0013027209223918,3738.551847463135,1.707793523273468,0.2230835763637079
HZ-14,523.0,323.0,15.0,9.0,0.045,0.06,0.005,49.0,0.00508,0.049,1.0,"Рп-31-2,5-5",0.0311,0.0006,0.005,0.00772,0.005,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,36.512072661806855,664.6830029888682,470.0625625357096,0.8359370681388112,328.3224335790532,374.2336092706617,2855.3480480974176,107147.5841481228,0.0399908322001876,2508.883986767736,1.9875126326079224,0.2580787470693261
TGM-127-2.0-1.3,473.0,303.0,12.6,4.1,0.0474,0.048,0.002,127.0,0.0036,0.031,1.0,Рп-42-3-14,0.0416,0.0006,0.0065,0.01035,0.0135,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,37.17233881648953,658.5865726939934,457.9010843174232,1.1260519197653294,303.20533959190425,417.446454303546,2090.421206722481,58415.51015469618,0.0309907790535726,3719.300003753424,1.6488272394263517,0.2158524161073301
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,Рп-42-3-14,0.0416,0.0006,0.0065,0.01035,0.0135,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,25.48651193105416,784.2996843489652,607.317173547563,0.8823239479028581,273.4710579037529,349.89837741850795,3369.185323592116,77373.10684072465,0.0482629495727935,3222.7533990466054,2.283510211177512,0.1965796136116344
TGM-127-2.0-1.3,473.0,303.0,12.6,4.1,0.0474,0.048,0.002,127.0,0.0036,0.031,1.0,"Рп-31-2,5-10",0.0311,0.0006,0.005,0.00772,0.01,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,26.582814307858563,742.695646213685,455.4032103585935,1.180408676376972,304.18758860291507,363.2825776676655,2323.612518692147,112678.44351976812,0.0029252814827884,2941.934707838451,2.362745563430648,0.1924801806187078
HZ-14,523.0,323.0,15.0,9.0,0.045,0.06,0.005,49.0,0.00508,0.049,1.0,Рп-22-2-7,0.0215,0.0006,0.0036,0.00527,0.0069,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,38.01723263224484,785.9187776569984,530.8694104035893,0.942767219999449,278.3836849788571,305.2963397025476,3879.5106393116657,95279.08031750128,0.0093869802660195,2784.419445572232,2.0148006968219265,0.2507087547582919
