TEM_type,Tchm0,Tccm0,N0,I0,eta0,aTEM,aTE,Ncoup,hTEM,mTEM,prop,fin_type,hhm,deltahm,shaghm,dekvhm,ledhm,lbdNTEG,roNTEG,lbdOTEG,roOTEG,Lpolez,nTEMrowmax,rowmax,wbefdif,Thm0,Thmpr,wcment,Tcm0,Tcmpr,rtchmmax,rtcwmax,d,Ne,alphaGD,gDT
TGM-127-2.0-1.3,473.0,303.0,12.6,4.1,0.0474,0.048,0.002,127.0,0.0036,0.031,1.0,"Рп-31-2,5-25",0.0311,0.0006,0.005,0.00772,0.025,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,26.2179558114873,589.1468908236862,450.68470780710135,1.0232661564351682,311.4840230465275,437.95579758777376,3954.346549765279,115250.7843196644,0.0267403710245441,3160.30353204101,1.6255495989363118,0.1933575276797905
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,"Рп-31-2,5-8",0.0311,0.0006,0.005,0.00772,0.0075,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,24.43321809162773,741.7475421119585,490.7530820058964,1.075633525898308,274.9883142940756,417.8181720644094,2178.241082653097,76187.20847449111,0.040427644369966,2934.273207627421,2.478782515320339,0.2167614336272879
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,"Рп-31-2,5-15",0.0311,0.0006,0.005,0.00772,0.015,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,36.57811579803721,688.6673815140707,476.276198081692,0.909080451450326,284.19973301773854,319.15707844934843,3267.0851048217896,68466.37070718956,0.009934972792594,2622.526030647085,2.141215783622273,0.2714458112838737
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,Рп-42-3-14,0.0416,0.0006,0.0065,0.01035,0.0135,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,42.80570981979197,653.9067363213586,453.14852807884665,1.0514841702565136,310.87130909117053,410.3523535654839,2549.80615001746,110827.85773555611,0.0139701386716994,3531.945606019692,1.8014587430872155,0.1792191217159355
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,"Рп-31-2,5-5",0.0311,0.0006,0.005,0.00772,0.005,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,37.64078583660732,752.2104489628894,479.64727813534415,1.0093324929717895,315.8841480965804,342.69138935047505,3810.038692517177,86270.40003808236,0.0033483609237291,1294.644712601655,2.1434226767179165,0.1949872135944959
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,Рп-27-2-9,0.0266,0.0006,0.00435,0.00658,0.0085,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,27.849755068222148,661.7237017842847,454.1458673112928,0.9688302811071456,324.7380103800476,373.7271591528773,2880.872764847667,71727.9700464008,0.0267187542492048,2627.315470571584,2.232360708594495,0.2415293953703686
HZ-14,523.0,323.0,15.0,9.0,0.045,0.06,0.005,49.0,0.00508,0.049,1.0,"Рп-31-2,5-10",0.0311,0.0006,0.005,0.00772,0.01,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,34.264873101799544,631.1887635749754,468.53113470721206,1.1708596849784274,303.63471543482285,354.9952510626203,3060.819263338158,52149.729178227804,0.0108149853542361,3517.297877085832,1.9161045781668504,0.2010609683522729
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,"Рп-31-2,5-25",0.0311,0.0006,0.005,0.00772,0.025,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,44.65332602333198,706.0184090037299,582.9473433778605,1.0248975478781803,308.2733550367383,370.7277399780705,3706.796481225709,56282.847923879366,0.0016633317198732,2623.895187441741,2.1911738312496443,0.2789510207055162
TGM-127-2.0-1.3,473.0,303.0,12.6,4.1,0.0474,0.048,0.002,127.0,0.0036,0.031,1.0,Рп-42-3-14,0.0416,0.0006,0.0065,0.01035,0.0135,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,32.398513652752534,613.1066022138707,454.87232394637806,1.1375973320111117,280.1912584298091,418.7116577621316,3951.393842609609,77778.42737665297,0.0131859077600731,2398.855052502001,1.7338430356512775,0.2431602023886138
HZ-14,523.0,323.0,15.0,9.0,0.045,0.06,0.005,49.0,0.00508,0.049,1.0,"Рп-31-2,5-8",0.0311,0.0006,0.005,0.00772,0.0075,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,47.73054935500382,710.2046768104728,497.3344894542569,0.9206859255072828,290.4244695484595,364.4996415493683,2878.6690835253075,94521.70987882154,0.0137210814369751,3769.347782430933,2.0119856515260257,0.2134173165723603
