TEM_type,Tchm0,Tccm0,N0,I0,eta0,aTEM,aTE,Ncoup,hTEM,mTEM,prop,fin_type,hhm,deltahm,shaghm,dekvhm,ledhm,lbdNTEG,roNTEG,lbdOTEG,roOTEG,Lpolez,nTEMrowmax,rowmax,wbefdif,Thm0,Thmpr,wcment,Tcm0,Tcmpr,rtchmmax,rtcwmax,d,Ne,alphaGD,gDT
TGM-127-2.0-1.3,473.0,303.0,12.6,4.1,0.0474,0.048,0.002,127.0,0.0036,0.031,1.0,Рп-42-3-14,0.0416,0.0006,0.0065,0.01035,0.0135,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,33.688073462558016,726.3200444956923,460.5422895742688,0.8465769002420855,288.7307133480325,377.72432399423286,2690.288205081135,116832.55211740098,0.0258798312962515,1790.4873821372685,2.071794675655916,0.176666658341053
HZ-14,523.0,323.0,15.0,9.0,0.045,0.06,0.005,49.0,0.00508,0.049,1.0,Рп-42-3-14,0.0416,0.0006,0.0065,0.01035,0.0135,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,27.017547202394915,626.7081930816666,454.41598764781526,1.0090886640042134,320.7055624331564,340.3276026796267,3218.693092309715,99775.68090191924,0.0337400097405606,3362.415682201709,1.5063043367328064,0.1742943461192896
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,"Рп-31-2,5-25",0.0311,0.0006,0.005,0.00772,0.025,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,22.04275699338583,722.9126359707254,522.9529619865186,1.0719045306540518,325.22268676436124,384.40167824754747,2555.3439007626857,92950.71758722627,0.0479218022463256,3717.777566425733,2.1546660237898387,0.2034512640036488
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,"Рп-31-2,5-25",0.0311,0.0006,0.005,0.00772,0.025,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,26.045043800321658,638.3694566510286,487.19812201061217,0.977584603305896,282.11344042637154,402.8059251503825,2804.038269834435,119802.06125313263,0.0418465855596236,1235.9309415236742,1.8046283806373624,0.239614886684892
TGM-127-2.0-1.3,473.0,303.0,12.6,4.1,0.0474,0.048,0.002,127.0,0.0036,0.031,1.0,"Рп-31-2,5-10",0.0311,0.0006,0.005,0.00772,0.01,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,36.74386873395908,795.5275140242638,455.7490158282918,0.8999616856898793,320.7517885739285,428.5074873586682,2607.6007303742867,108575.35642813696,0.0422427134819672,3316.0302138363213,1.6175063670096692,0.2083715306269906
HZ-14,523.0,323.0,15.0,9.0,0.045,0.06,0.005,49.0,0.00508,0.049,1.0,"Рп-31-2,5-8",0.0311,0.0006,0.005,0.00772,0.0075,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,41.509039651422256,625.9289904553937,450.597334676537,0.8286490454802455,305.05352373826474,338.9693941382281,3297.46529466801,107099.3530865687,0.0047835796839154,2281.668479227308,2.191819092769773,0.2218587994842446
TGM-127-2.0-1.3,473.0,303.0,12.6,4.1,0.0474,0.048,0.002,127.0,0.0036,0.031,1.0,"Рп-31-2,5-10",0.0311,0.0006,0.005,0.00772,0.01,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,46.49501925152806,571.9596531773769,456.4287555761273,1.1344604757987613,329.9209071828714,437.0065365681572,3067.4367669877847,86026.0226971937,0.0025476376519985,2828.606153267064,2.299283698767156,0.2214834781876207
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,"Рп-31-2,5-8",0.0311,0.0006,0.005,0.00772,0.0075,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,38.09920225782393,764.7192968015969,514.993633258893,1.0244676123477858,275.7737550945875,393.48708938810927,2557.841010254232,76582.84463431645,0.0414842461776897,1580.4339279851242,2.471373513718982,0.2113237314493875
TEHP1-16056-0.5,573.0,303.0,17.8,3.8,0.0625,0.056,0.003,98.0,0.0046,0.06,1.0,Рп-42-3-14,0.0416,0.0006,0.0065,0.01035,0.0135,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,47.06588678626892,774.42759374363,480.20720001238016,1.103840169545163,323.89324577132817,394.1852010375551,2176.0119311534577,52197.64448153583,0.0141884385322441,3157.191409420403,2.158178996442921,0.1804084690588899
TGM-127-2.0-1.3,473.0,303.0,12.6,4.1,0.0474,0.048,0.002,127.0,0.0036,0.031,1.0,"Рп-31-2,5-10",0.0311,0.0006,0.005,0.00772,0.01,300.0,8000.0,300.0,8000.0,0.3,50.0,20.0,25.97777302681779,711.6761824352125,521.8259186922614,1.1029842265291867,314.8480982468235,411.32458521942624,2351.6178930134465,66948.31787415012,0.0378443021536741,2795.6883834278656,2.443275273859637,0.2093350850767939
